UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
51,L47230,L,298.9,309.1,2861,4.6,143,1,Power Failure
51,L47230,L,298.9,309.1,2861,4.6,143,1,Power Failure
195,M15054,M,298.2,308.5,2678,10.7,86,1,Power Failure
299,H29712,H,297.9,308.5,2129,18.7,126,0,No Failure
306,L47485,L,297.8,308.4,2129,19.2,148,0,No Failure
345,M15204,M,297.5,308.2,2448,13.8,29,0,No Failure
381,L47560,L,297.5,308.3,2564,12.8,127,1,Power Failure
401,L47580,L,297.4,308.5,2100,16.9,176,0,No Failure
419,L47598,L,297.4,308.4,2151,17.7,0,0,No Failure
464,L47643,L,297.4,308.7,2874,4.2,118,1,Power Failure
464,L47643,L,297.4,308.7,2874,4.2,118,1,Power Failure
468,L47647,L,297.2,308.5,2182,16.5,127,0,No Failure
602,L47781,L,297.9,309.7,2194,16.8,27,0,No Failure
604,L47783,L,297.9,309.8,1336,71.6,31,1,Power Failure
848,L48027,L,296.4,307.4,2833,5.6,213,1,Power Failure
848,L48027,L,296.4,307.4,2833,5.6,213,1,Power Failure
881,M15740,M,295.8,306.3,1235,76.2,89,1,Power Failure
888,H30301,H,295.7,306.2,2161,16.5,105,0,No Failure
904,L48083,L,295.7,306.2,2270,14.6,149,1,Power Failure
990,M15849,M,296.2,307.0,2119,18.3,159,0,No Failure
1096,L48275,L,296.9,307.5,2721,9.3,18,1,Power Failure
1096,L48275,L,296.9,307.5,2721,9.3,18,1,Power Failure
1116,M15975,M,296.4,307.3,2077,19.1,80,0,No Failure
1210,H30623,H,297.0,308.1,2540,13.3,98,0,No Failure
1235,H30648,H,297.2,308.5,2440,14.0,166,0,No Failure
1265,M16124,M,297.8,309.3,2243,15.7,36,0,No Failure
1285,L48464,L,298.4,309.5,2153,15.3,98,1,Power Failure
1305,L48484,L,298.8,310.0,2098,19.6,148,0,No Failure
1325,M16184,M,298.8,310.1,1243,74.5,194,1,Power Failure
1392,L48571,L,298.9,310.2,2737,8.8,142,1,Power Failure
1392,L48571,L,298.9,310.2,2737,8.8,142,1,Power Failure
1417,M16276,M,298.7,309.9,2083,18.2,205,0,No Failure
1500,M16359,M,298.1,308.8,2206,16.3,195,0,No Failure
1501,M16360,M,298.0,308.7,2101,17.4,198,0,No Failure
1526,L48705,L,298.2,309.0,2449,13.8,45,0,No Failure
1542,L48721,L,298.4,309.0,2304,15.1,89,0,No Failure
1563,L48742,L,298.2,308.3,2216,16.8,139,0,No Failure
1565,M16424,M,298.0,308.2,2090,19.0,143,0,No Failure
1748,L48927,L,298.4,307.9,2381,14.2,164,0,No Failure
1785,L48964,L,298.3,308.0,2886,3.8,57,1,Power Failure
1785,L48964,L,298.3,308.0,2886,3.8,57,1,Power Failure
1809,L48988,L,298.1,307.7,2567,12.8,125,1,Power Failure
1921,L49100,L,298.1,307.9,2161,17.5,5,0,No Failure
1937,M16796,M,298.1,308.0,2129,18.4,45,0,No Failure
2081,L49260,L,299.3,309.2,2280,15.4,207,0,No Failure
2234,L49413,L,299.5,308.7,2549,13.0,179,1,Power Failure
2422,L49601,L,298.9,308.2,2384,15.0,19,0,No Failure
2453,M17312,M,299.1,308.6,2329,14.6,95,0,No Failure
2588,L49767,L,299.0,308.7,2248,16.8,204,0,No Failure
2590,L49769,L,299.0,308.7,2250,16.6,208,0,No Failure
2613,L49792,L,299.4,309.1,2421,14.2,57,0,No Failure
2666,L49845,L,299.8,309.4,2256,15.9,201,0,No Failure
2709,L49888,L,299.6,309.1,2266,15.3,79,0,No Failure
2782,L49961,L,300.2,309.5,2183,17.8,39,0,No Failure
2905,L50084,L,300.6,309.4,2496,13.5,111,0,No Failure
2941,L50120,L,300.9,309.7,2355,14.4,201,0,No Failure
3001,H32414,H,300.5,309.8,1324,72.8,159,1,Power Failure
3072,L50251,L,300.0,309.0,2174,16.9,112,0,No Failure
3093,M17952,M,300.0,309.3,2293,16.3,170,0,No Failure
3122,L50301,L,300.1,309.4,2141,17.9,33,0,No Failure
3141,H32554,H,300.4,309.9,2563,12.8,81,1,Power Failure
3216,M18075,M,300.5,309.4,2179,16.3,59,0,No Failure
3321,L50500,L,301.5,310.5,2289,16.4,112,0,No Failure
3328,M18187,M,301.5,310.6,2432,14.2,126,0,No Failure
3370,L50549,L,301.5,310.9,2760,8.0,15,1,Power Failure
3370,L50549,L,301.5,310.9,2760,8.0,15,1,Power Failure
3438,L50617,L,301.5,310.5,2297,15.8,191,0,No Failure
3458,M18317,M,301.5,310.4,2639,12.0,21,1,Power Failure
3469,L50648,L,301.8,310.7,2092,18.6,51,0,No Failure
3580,L50759,L,301.8,310.6,2672,11.8,124,1,Power Failure
3590,L50769,L,301.7,310.5,2465,13.7,149,0,No Failure
3868,M18727,M,302.7,311.6,2709,9.7,2,1,Power Failure
3868,M18727,M,302.7,311.6,2709,9.7,2,1,Power Failure
4031,L51210,L,302.0,310.8,2143,17.3,227,0,No Failure
4049,L51228,L,301.9,311.0,2691,12.1,31,1,Power Failure
4054,M18913,M,301.9,310.9,2305,16.1,42,0,No Failure
4091,L51270,L,302.0,310.5,2197,15.8,133,0,No Failure
4202,L51381,L,302.4,311.0,2211,15.4,203,0,No Failure
4216,M19075,M,302.0,310.7,2157,17.8,17,0,No Failure
4229,L51408,L,302.2,310.8,2203,16.6,47,0,No Failure
4293,M19152,M,301.8,310.1,2372,13.9,205,1,Power Failure
4297,L51476,L,301.8,310.2,2825,5.8,215,1,Power Failure
4297,L51476,L,301.8,310.2,2825,5.8,215,1,Power Failure
4303,L51482,L,301.7,310.1,2695,12.6,10,0,No Failure
4420,M19279,M,302.6,310.2,2676,10.8,84,1,Power Failure
4423,M19282,M,302.6,310.2,2157,17.2,94,0,No Failure
4445,L51624,L,302.4,310.2,2224,16.0,154,0,No Failure
4592,H34005,H,302.9,311.2,2102,17.8,91,0,No Failure
4613,L51792,L,303.0,311.3,2194,16.5,148,0,No Failure
4688,L51867,L,303.5,311.6,2183,17.0,110,0,No Failure
4727,M19586,M,303.4,311.8,2133,18.3,207,0,No Failure
4739,M19598,M,303.2,311.4,2102,19.0,5,0,No Failure
4763,M19622,M,303.7,312.0,2663,11.4,71,1,Power Failure
4827,L52006,L,303.4,311.8,2268,15.8,20,0,No Failure
4900,L52079,L,303.6,312.3,2168,17.7,219,0,No Failure
4904,L52083,L,303.6,312.4,2232,16.8,0,0,No Failure
4937,L52116,L,303.5,312.4,1284,70.6,94,1,Power Failure
4957,M19816,M,303.8,312.5,2344,15.2,146,0,No Failure
4989,L52168,L,303.8,313.1,2497,13.0,5,1,Power Failure
4998,M19857,M,303.6,312.8,2659,11.4,26,1,Power Failure
5002,M19861,M,303.6,312.7,2174,17.6,37,0,No Failure
5116,M19975,M,304.2,313.7,2113,18.4,139,0,No Failure
5128,M19987,M,304.3,313.5,2245,15.1,172,0,No Failure
5153,L52332,L,304.3,313.5,2643,12.7,21,0,No Failure
5187,L52366,L,304.0,313.0,2354,15.0,117,0,No Failure
5231,M20090,M,303.8,313.1,2117,18.6,22,0,No Failure
5299,M20158,M,303.7,313.1,2130,18.1,185,0,No Failure
5328,M20187,M,303.5,312.7,2116,16.7,45,0,No Failure
5335,M20194,M,303.4,312.6,2706,9.8,65,1,Power Failure
5335,M20194,M,303.4,312.6,2706,9.8,65,1,Power Failure
5395,M20254,M,302.8,312.3,1262,70.5,234,1,Power Failure
5450,L52629,L,303.1,312.8,2329,15.1,113,0,No Failure
5616,M20475,M,303.0,312.2,1257,71.3,122,1,Power Failure
5648,H35061,H,302.5,311.8,2370,14.7,198,0,No Failure
5668,L52847,L,302.2,311.4,2080,19.2,31,0,No Failure
5688,L52867,L,302.3,311.7,2170,18.2,91,0,No Failure
5707,L52886,L,302.4,311.9,1290,70.0,139,1,Power Failure
5849,L53028,L,301.4,311.3,2323,15.9,50,0,No Failure
5949,L53128,L,300.7,310.8,2113,18.5,95,0,No Failure
6007,M20866,M,300.6,310.5,2156,18.0,16,0,No Failure
6060,L53239,L,300.9,311.0,2235,15.8,156,0,No Failure
6148,M21007,M,301.1,311.1,2089,19.8,162,0,No Failure
6230,L53409,L,301.3,310.9,2165,17.4,143,0,No Failure
6244,L53423,L,301.0,310.4,2204,16.6,175,0,No Failure
6311,L53490,L,300.9,310.1,2090,17.8,133,0,No Failure
6406,L53585,L,300.1,309.7,2151,17.5,173,0,No Failure
6503,L53682,L,300.9,310.0,2595,13.7,207,0,No Failure
6512,M21371,M,301.2,310.1,2280,15.7,11,0,No Failure
6526,L53705,L,301.1,310.4,1312,73.6,49,1,Power Failure
6595,L53774,L,301.6,310.6,2103,19.7,12,0,No Failure
6613,L53792,L,301.6,310.6,1222,70.0,62,0,No Failure
6655,L53834,L,301.4,310.3,2203,16.6,169,0,No Failure
6663,M21522,M,301.3,310.4,2093,18.7,190,0,No Failure
6719,L53898,L,301.4,310.6,2137,18.0,99,0,No Failure
6791,M21650,M,301.1,310.7,2219,16.7,79,0,No Failure
6800,M21659,M,301.1,310.7,2636,12.2,100,1,Power Failure
6862,H36275,H,301.1,311.3,2207,16.6,43,0,No Failure
6880,H36293,H,300.8,311.2,2237,17.0,95,0,No Failure
6978,L54157,L,300.7,311.1,2377,14.3,135,0,No Failure
6988,L54167,L,300.7,311.1,2437,13.8,163,0,No Failure
6991,L54170,L,300.7,311.1,2478,13.4,170,1,Power Failure
7012,L54191,L,300.5,310.5,2633,12.2,17,1,Power Failure
7025,L54204,L,300.6,310.6,2127,18.7,53,0,No Failure
7087,L54266,L,300.6,310.4,2514,13.4,215,0,No Failure
7121,L54300,L,300.9,310.5,2288,16.1,85,0,No Failure
7183,L54362,L,300.3,310.3,2158,16.8,32,0,No Failure
7261,L54440,L,300.4,310.5,2424,14.5,12,0,No Failure
7410,L54589,L,299.8,310.9,2084,17.6,175,0,No Failure
7514,L54693,L,300.4,311.8,2261,14.9,5,0,No Failure
7537,L54716,L,300.1,311.3,2579,12.5,64,1,Power Failure
7568,M22427,M,300.2,311.0,2370,14.7,144,0,No Failure
7570,L54749,L,300.2,311.0,1255,71.8,149,1,Power Failure
7673,M22532,M,300.5,311.7,2141,17.2,196,0,No Failure
7688,M22547,M,300.7,311.7,2097,18.9,232,1,Tool Wear Failure
7764,L54943,L,300.4,311.6,1200,76.6,3,1,Power Failure
7811,L54990,L,300.1,311.5,2218,17.0,123,0,No Failure
7819,L54998,L,299.8,311.2,2142,16.6,144,0,No Failure
7887,M22746,M,300.6,312.2,2174,18.5,95,0,No Failure
7958,H37371,H,300.9,311.9,2140,16.5,43,0,No Failure
7998,M22857,M,301.0,312.2,2710,9.7,143,1,Power Failure
7998,M22857,M,301.0,312.2,2710,9.7,143,1,Power Failure
8010,H37423,H,300.9,312.0,2129,17.8,173,0,No Failure
8111,H37524,H,300.3,311.8,2141,18.5,204,0,No Failure
8115,H37528,H,300.4,311.8,2496,13.5,5,0,No Failure
8185,L55364,L,299.8,311.1,2144,17.7,190,0,No Failure
8242,M23101,M,298.9,310.2,2099,20.0,98,0,No Failure
8336,M23195,M,299.0,309.8,2240,15.9,144,0,No Failure
8399,L55578,L,298.5,309.7,2617,12.1,102,1,Power Failure
8572,L55751,L,297.9,308.6,2262,15.7,125,0,No Failure
8583,M23442,M,297.5,308.1,1334,72.0,151,1,Power Failure
8890,M23749,M,297.7,308.8,2089,19.1,111,0,No Failure
8917,L56096,L,297.1,308.2,2267,15.7,181,0,No Failure
8943,L56122,L,297.3,308.3,2188,17.0,32,0,No Failure
9039,L56218,L,297.3,308.3,2358,14.9,49,0,No Failure
9066,H38479,H,297.2,308.4,2182,17.3,119,0,No Failure
9085,L56264,L,297.2,307.9,1326,75.4,172,1,Power Failure
9165,L56344,L,297.6,308.6,2384,14.4,171,0,No Failure
9211,M24070,M,297.9,309.0,2456,13.9,82,0,No Failure
9351,L56530,L,298.2,308.7,2186,17.8,31,0,No Failure
9407,M24266,M,297.7,308.1,2189,15.6,186,0,No Failure
9445,L56624,L,298.1,308.9,2136,15.9,78,0,No Failure
9602,L56781,L,298.9,310.1,2109,18.0,61,0,No Failure
9725,M24584,M,298.8,309.7,2098,19.0,133,0,No Failure
9733,L56912,L,298.9,310.0,2231,17.4,151,0,No Failure
9759,L56938,L,298.6,309.8,2271,16.2,218,1,Tool Wear Failure
9833,L57012,L,298.4,309.2,2118,17.7,210,0,No Failure
9850,L57029,L,298.6,309.4,2312,15.5,44,0,No Failure
9866,M24725,M,298.9,309.8,2450,13.9,89,0,No Failure
9940,H39353,H,298.3,308.1,2636,12.8,84,0,No Failure
